entity_raw,canonical_entity
facet arthropathy,facet arthrosis
posterior neck pain,posterior neck pain
impairment of bowel and bladder function,impairment of bowel and bladder function
photophobia,photophobia
pseudomeningocele,pseudomeningocele
dural meningitis,dural meningitis
tincture of benzoin,tincture of benzoin
upper eyelid squamous cell carcinoma,upper eyelid squamous cell carcinoma
squamous cell carcinoma on his right upper eyelid,squamous cell carcinoma on his right upper eyelid
right ovarian cystic mass,right ovarian cystic mass
injury of underlying structures.,injury of underlying structures
mass of bowel was noted to be adherent,mass of bowel was noted to be adherent
small bowel,small bowel
sigmoid colon resection,sigmoid colon resection
"low anterior colon resection.,3",low anterior colon resection3
diverticulitis,diverticulitis
loop pds suture,loop pds suture
acute small bowel,small bowel
nausea and,nausea and
a bowel obstruction,a bowel obstruction
umbilical hernia,umbilical hernia
loop of small,loop of small
ecchymotic,ecchymotic
upper cheek skin neoplasm,upper cheek skin neoplasm
"1:100,000 epinephrine.,estimated blood",1100000 epinephrineestimated blood
nevi,nevi
nasal ala nevus,nasal ala nevus
squamous cell carcinoma on the right hand,squamous cell carcinoma on the right hand
squamous cell carcinoma on the dorsum of the right hand,squamous cell carcinoma on the right hand
actinic neoplasm,actinic neoplasm
keratosis,keratosis
verrucous seborrheic keratosis,verrucous seborrheic keratosis
actinic keratosis,actinic keratosis
upper cheek actinic neoplasm defect,upper cheek skin neoplasm
skin neoplasm,skin neoplasm
trichloroacetic acid,trichloroacetic acid
actinic,actinic
upper cheek lesion,upper cheek lesion
basal cell carcinoma,basal cell cancers
seborrheic keratotic,seborrheic keratotic
neoplasm of the left nasolabial fold measuring 0.5 x 0.5,neoplasm of the left nasolabial fold measuring 05 x 05
keratotic neoplasm,keratotic neoplasm
keratotic,keratotic
intra-abdominal,intraabdominal
nasal polyposis,nasal polyposis
polyposis,polyposis
polypoid disease,polypoid disease
xps,xps
pipkin,pipkin
hydradenitis,hydradenitis
"hydradenitis.,the",hydradenitisthe
gerd type symptoms,gerd type symptoms
dyspeptic,dyspeptic
bile reflux,bile reflux
proton-pump,protonpump
duodenal erythema,duodenal erythema
biliary atresia,biliary atresia
cholestatic jaundice,cholestatic jaundice
malnutrition,malnutrition
polyps,polyps
"hernia.,procedures",herniaprocedures
hiatal hernia,hiatal hernia
"protein-calorie malnutrition.,procedures performed:,1",proteincalorie malnutritionprocedures performed1
cvas,cvas
encephalopathic,encephalopathic
neuromuscular dysfunction,neuromuscular dysfunction
esophagitis,esophagitis
gastritis,gastritis
egd,egd
prevacid,prevacid
peg back,peg back
peptic ulcer,peptic ulcer
esophageal tumor,esophageal tumor
cardia of the stomach,cardia of the stomach
air,air
pancreatic insufficiency,pancreatic insufficiency
postprandial dyspepsia,postprandial dyspepsia
reflux gastritis,reflux gastritis
gastroparesis,gastroparesis
anastomotic obstruction,anastomotic obstruction
cetacaine,cetacaine
bite block,bite block
vistaril,vistaril
gastrointestinal tract,gastrointestinal tract
"crohn's disease.,medications: ,general anesthesia.,instrument",crohns diseasemedications general anesthesiainstrument
lower esophageal sphincter,lower esophageal sphincter
crohn's involvement of the stomach.,crohns involvement of the stomach
"crohn's disease.,plan",crohns diseaseplan
cocci,cocci
remicade,remicade
phosphate,phosphate
crohn's in the small intestine,crohns in the small intestine
upper gi bleed,upper gi bleed
"varices.,final",varicesfinal
esophageal varices,esophageal varices
morning following aggressive resuscitation,morning following aggressive resuscitation
octreotide,octreotide
inflammatory bowel disease,inflammatory bowel disease
allergic enterocolitis,allergic enteritis
pedunculated juvenile-appearing polyp,pedunculated juvenileappearing polyp
"colon, transverse colon, descending colon, sigmoid, and rectum.",colon transverse colon descending colon sigmoid and rectum
allergic enteritis,allergic enteritis
ulcer disease,ulcer disease
celiac disease,celiac disease
adverse medication reactions,adverse medical reaction
occult barrett,occult barrett
"failure of antacid medical therapy.,postoperative",failure of antacid medical therapypostoperative
loose lower esophageal sphincter,loose lower esophageal sphincter
adverse medical reaction,adverse medical reaction
"loose lower esophageal sphincter.,plan:,1",loose lower esophageal sphincterplan1
iron-deficiency,irondeficiency
nodular gastritis,nodular gastritis
adenomatous,adenomatous
ulceration,ulceration
"normal.,findings:,1",normalfindings1
"esophageal foreign body.,procedures",esophageal foreign bodyprocedures
choking,choking
supraglottis,supraglottis
glottis,glottis
esophageal damage,esophageal damage
paraesophageal hernia,paraesophageal hernia
looks adenomatous,looks adenomatous
"today.,2",today2
upper extremity burns,upper extremity burns
silvadene cream,silvadene cream
etomidate,etomidate
vecuronium,vecuronium
"shoulders.,2",shoulders2
"grafting.,procedure",graftingprocedure
sulfamylon,sulfamylon
tumescence,tumescence
"cord syndrome.,4",cord syndrome4
"drain.,anesthesia",drainanesthesia
sternal abscess,sternal abscess
"myocardial infarction.,the",myocardial infarctions
cord syndrome,cord syndrome
quadriplegia,quadriplegia
permanent neurologic status regardless,permanent neurologic status regardless
abdominal aortic aneurysm,abdominal aortic aneurysm
iliac artery aneurysm,iliac artery aneurysm
"fashion.,bilateral groin",fashionbilateral groin
sarcoma,sarcoma
small bowel obstruction,small bowel obstruction
dopamine,dopamine
"needle.,there",needlethere
coffee-ground emesis,coffeeground emesis
"upper gastrointestinal endoscopy.,postoperative diagnoses:,1",upper gastrointestinal endoscopypostoperative diagnoses1
gastroesophageal junction small,gastroesophageal junction small
duodenitis,duodenitis
normal-appearing gastroesophageal sphincter,normalappearing gastroesophageal sphincter
"carpal tunnel syndrome.,operations",carpal tunnel disease
distal esophageal reflux-induced stricture,distal esophageal stricture
"biopsied.,2",biopsied2
aciphex,aciphex
quervain,quervain
apl tendons,apl tendons
atm,atm
esophageal tear,esophageal tear
esophageal fracture,esophageal tear
chronic maxillary sinusitis,maxillary sinusitis
"left inferior turbinate hypertrophy.,4",left inferior turbinate hypertrophy4
"septal deviation.,postoperative",septal deviationpostoperative
supination,supination
pronation,pronation
right glenoid neck fracture,right glenoid neck fracture
postoperative stiffness,postoperative stiffness
pronation supination,pronation supination
"deceleration.,procedure",decelerationprocedure
ipc,ipc
clock,clock
diabetic gastroparesis,diabetic gastroparesis
small hiatal hernia,small hiatal hernia
"none.,assessment:,1",noneassessment1
small hiatal,small hiatal
biliary colic-type,biliary colictype
silver chloride,silver chloride
dysmetria,dysmetria
dix-hallpike maneuver,dixhallpike maneuver
abnormal electronystagmogram,abnormal electronystagmogram
a right vestibular dysfunction,a right vestibular dysfunction
"peg tube.,procedure",peg tubeprocedure
enterogastritis,enterogastritis
"polyps.,4",polyps4
"colon, transverse colon, ascending colon",colon transverse colon ascending colon
perianal disease,perianal disease
melanosis,melanosis
transverse colon polyps,transverse colon polyps
esophageal cancer,esophageal tumor
"t2n0m0.,he",t2n0m0he
adenomatous polyps,adenomatous polyps
transverse colon,transverse colon
peptic,peptic
cortef,cortef
tegretol,tegretol
ddavp,ddavp
astrocytoma,astrocytoma
hypothyroidism,hypothyroidism
endocrine insufficiency,endocrine insufficiency
motility disorder,motility disorder
achalasia,achalasia
reflux symptoms,reflux symptoms
notch deformity,notch deformity
right conductive hearing loss,right conductive hearing loss
tympanoplasty,tympanoplasty
upper extremity peripheral vein,upper extremity peripheral vein
"nasal valve collapse.,4",nasal valve collapse4
nasal vestibular stenosis,nasal vestibular stenosis
"left inferior turbinectomy.,anesthesia",left inferior turbinectomyanesthesia
nasal valve collapse,nasal valve collapse
"lateral branch block.,indication",lateral branch blockindication
"meckel's diverticulum.,procedures performed:,1",meckels diverticulumprocedures performed1
meckel's diverticulum,meckels diverticulum
hypoxemia,hypoxemia
anorexia,anorexia
rovsing,rovsing
ruptured meckel's diverticulum,ruptured meckels diverticulum
appendix,appendix
hypoxia,hypoxia
right hand dupuytren disease,right hand dupuytren disease
dupuytren disease,dupuytren disease
dupuytren disease of the right hand,dupuytren disease of the right hand
left dupuytren disease,left dupuytren disease
dupuytren contracture,dupuytren contracture
dupuytren disease fibrous,dupuytren disease fibrous
quervain's stenosing tenosynovitis,quervains stenosing tenosynovitis
sterile occlusive,sterile occlusive
glossal carcinoma,glossal carcinoma
inferior vena cava and right atrium,inferior vena cava and right atrium
subglottic stenosis,subglottic stenosis
suprastomal fibroma,suprastomal fibroma
degenerative disk disease,degenerative disease
traumatic,traumatic
cervical degenerative disc disease,cervical degenerative disc disease
cord compression,cord compression
quadriparesis,quadriparesis
"c5-c6.,4",c5c64
quadriparetic,quadriparetic
neurological deterioration,neurological deterioration
"c3-c6.,trimline",c3c6trimline
depuy titanium,depuy titanium
srom,srom
atony,atony
cytotec 400,cytotec 400
his disability,his disability
carious lesions,carious lesions
radiolucencies,radiolucencies
carious lesion,carious lesion
83-year-old diabetic female,83yearold diabetic female
"diabetic foot care.,o - ,on examination, the lateral",diabetic foot careo on examination the lateral
chlamydia,chlamydia
pelvic infection,pelvic infection
vaginal infection,vaginal infection
adnexal fullness,adnexal fullness
hemorrhagic ovarian cyst,hemorrhagic cyst
fitz-hugh-curtis syndrome,fitzhughcurtis syndrome
chronic adhesive disease,adhesive disease
"ruptured ectopic pregnancy.,preop",ruptured ectopic pregnancypreop
ruptured ectopic,ruptured ectopic
adhesed left ovary with dilated left fallopian tube,adhesed left ovary with dilated left fallopian tube
tooth g,tooth g
ferric sulfate,ferric sulfate
zinc oxide,zinc oxide
amalgam restorations,amalgam restorations
l. a,l a
calculus,calculus
impingement syndrome,impingement syndrome
cytotec,cytotec
mdl,mdl
prematurity,prematurity
artificial rupture,artificial rupture
"6, para 2-1-2-3",6 para 2123
stadol,stadol
vulvar lesions,vulvar lesions
upper vaginal lacerations,upper vaginal lacerations
multiple first-degree lacerations,multiple firstdegree lacerations
gilbert's syndrome,gilberts syndrome
shoulder arthroplasty,shoulder arthroplasty
artery damage,artery damage
"stiffness, loss of range of motion, incomplete relief of",stiffness loss of range of motion incomplete relief of
"loss of bone, medical complications",loss of bone medical complications
supraspinatus tendon rupture,supraspinatus tendonitis
rimmed fibrous,rimmed fibrous
erosion of the infection,erosion of the infection
bone loss,bone loss
blisters,blisters
distal fibular fracture,distal fibular fracture
abduction type injury,abduction type injury
medial malleolus fracture,medial malleolus fracture
neurovascular injury,neurovascular injury
skin necrosis,skin necrosis
disability,disability
"pulse.,the",pulsethe
obstruction to reduction,obstruction to reduction
"intraarticular.,the reduction",intraarticularthe reduction
numb,numb
perineum tear,perineum tear
muscle tendons,muscle tendons
neuropathy,neuropathy
infarction,infarction
nifedipine,nifedipine
intrauterine fetal demise,intrauterine fetus
labor pain,labor pain
penicillin allergy,penicillin allergy
abruption,abruption
endometritis,endometritis
infectious disease,infectious disease
cauda equina syndrome,cauda equina syndrome
muscular ligamentous,muscular ligamentous
"bipolar coagulation.,at this",bipolar coagulationat this
complaint of drainage from his left groin,complaint of drainage from his left groin
groin abdominal wound,groin abdominal wound
groin infection,groin pain
diabetic diet,diabetic diet
wet-to-dry,wettodry
hypoperfusion,hypoperfusion
"pacemaker:,the",pacemakerthe
brady,brady
"hemoperitoneum.,procedures",hemoperitoneumprocedures
polytrauma,polytrauma
blistering of the skin,blistering of the skin
right ruptured tubal,right ruptured tubal
tubal pregnancy and right partial,tubal pregnancy and right partial
abortions,abortions
"carpal tunnel syndrome.,2",carpal tunnel disease
"quervain's stenosing tenosynovitis.,postoperative",quervains stenosing tenosynovitistitle
"quervain's stenosing tenosynovitis.,title",quervains stenosing tenosynovitistitle
hyperflexion,hyperflexion
laryngeal papillomatosis,laryngeal papillomatosis
adnexal abnormalities,adnexal abnormalities
boggy,boggy
endometrial polyps,endometrial polyps
endometrial perforation,endometrial perforation
tampons,tampons
fibroid degeneration,fibroid degeneration
carbondioxide,carbondioxide
"left hydrosalpinx.,7",left hydrosalpinx7
"endometriosis.,procedures",endometriosisprocedures
"1, para 0-0-1-0",1 para 0010
cystic renal lesions,cystic renal lesions
hemorrhagic cysts,hemorrhagic cyst
abdominal lymphadenopathy,abdominal lymphadenopathy
left renal lesion,left renal lesion
bicarbonate,bicarbonate
left renal tumor,left renal tumor
anaprox,anaprox
complaints of dyspareunia,complaints of dyspareunia
uterine fibroids,uterine fibroids
boggy on bimanual examination,boggy on bimanual examination
bladder injury,bladder injury
head injury,head injury
horseshoe head rest,horseshoe head rest
pituitary calcifications,pituitary calcifications
postbiopsy,postbiopsy
right frontotemporal chronic subacute subdural,right frontotemporal subacute subdural
glioblastoma,glioblastoma
glioblastoma multiforme,glioblastoma multiforme
acute leukemia,leukemia
thrombocytopenia,thrombocytopenia
white cell deficiency,white cell deficiency
neurologic deterioration,neurologic deterioration
intracerebral injury,intracerebral injury
venous bleeding,venous bleeding
metopic synostosis,metopic synostosis
"trigonocephaly.,procedures",trigonocephalyprocedures
metopic,metopic
"bacitracin irrigation.,the",bacitracin irrigationthe
siloxane,siloxane
brain tumors,brain tumors
multiple - adenocarcinoma,multiple adenocarcinoma
hespan,hespan
left-sided weakness,leftsided weakness
non-small cell carcinoma of the lung,nonsmall cell carcinoma
"noted.,a horseshoe",noteda horseshoe
ativan,ativan
venous infarct,venous infarct
"hematoma.,preop",hematomapreop
hemorrhagic infarct,hemorrhagic infarct
high-grade lesion,highgrade lesion
haziness,haziness
conus branch,conus branch
ulcerative,ulcerative
non-obstructive coronary artery disease,nonobstructive coronary artery disease
type mouth gag,type mouth gag
"1:100,000 adrenalin",1100000 adrenalin
plantar condyle hypertrophy,plantar condyle hypertrophy
atheromatous,atheromatous
om3,om3
condylomas,condylomas
intra-anal condylomas,intraanal condylomas
respiratory or cardiovascular collapse,respiratory or cardiovascular collapse
irritable bowel syndrome,irritable bowel syndrome
papillary thyroid carcinoma,papillary tumor
injury to nerves including vocal fold paralysis,injury to nerve vocal fold paralysis
thyroid carcinoma,thyroid tumor
diverticulosis,diverticulosis
blood loss anemia,blood loss anemia
diverticuli,diverticula
asplenia syndrome,asplenia syndrome
cyanotic congenital heart disease,cyanotic congenital heart disease
dextrocardia,dextrocardia
atrioventricular septal defect,atrioventricular septal defect
pulmonary stenosis,pulmonary stenosis
pulmonary artery pericardial,pulmonary artery pericardial
occlusion of the right bidirectional glenn shunt,occlusion of the right bidirectional glenn shunt
elevated glenn pressures,elevated glenn pressures
pg 2960 bpx,pg 2980 bpx
pg 2980 bpx,pg 2980 bpx
pg 1870 bpx,pg 1870 bpx
glenn venous pressures,glenn venous pressures
asplenia,asplenia
"atrioventricular septal defect.,4",atrioventricular septal defect4
separate hepatic venous drainage,separate hepatic venous drainage
heme-positive,hemepositive
colitis,colitis
"patient.,with",patientwith
overt colitis,overt colitis
telangiectasia,telangiectasia
tortuous spastic,tortuous spastic
"throughout.,4",throughout4
abdominal pains,abdominal pains
right abdominal pains,right abdominal pains
antidepressants,antidepressants
boggy prostate,boggy prostate
proctosigmoiditis,proctosigmoiditis
"4/4.,difficulty",44difficulty
pedunculated polyp,pedunculated polyp
premedications,premedications
diverticular disease,diverticular disease
a diverticular disease,a diverticular disease
colon polyps,colon polyps
myelodysplastic syndrome,myelodysplastic syndrome
"hemorrhoids.,3",hemorrhoids3
irregular bowel,irregular bowel
descending colon polyp,descending colon polyp
colon polyp,colon polyp
hematochezia,hematochezia
dyspepsia,dyspepsia
sigmoid diverticulosis,sigmoid diverticulosis
polyp disease,polyp disease
left colon polyp,left colon polyp
non-bleeding,nonbleeding
neoplasm of rectum and anal,neoplasm of rectum and anal
"stool.,v12.72",stoolv1272
sulfasalazine,sulfasalazine
crohn disease,crohn disease
hemorrhoidal disease,hemorrhoidal disease
"crohn disease.,plan",crohn disease3
azathioprine,azathioprine
irritable,irritable
nausea reaction,nausea reaction
"colon, hepatic flexure, transverse colon, splenic flexure",colon hepatic flexure transverse colon splenic flexure
multiple colon polyps,multiple colon polyps
spastic tortuous sigmoid colon,spastic tortuous sigmoid colon
spasm,spasm
glucagon,glucagon
left buttock's cheek,left buttocks cheek
external hemorrhoids,external hemorrhoids
"examination.,postoperative",examinationpostoperative
diverticulum,diverticulum
small lesions,small lesions
ultram,ultram
coarctation of the aorta,coarctation of the aorta
dilated cardiomyopathy,dilated cardiomyopathy
insufficiency or stenosis,insufficiency or stenosis
"coarctation of the aorta.,procedure",coarctation of the aortaprocedure
coarctation,coarctation
desaturated,desaturated
"vq mismatch.,phasic right-sided pressures",vq mismatchphasic rightsided pressures
juxtaductal coarctation of the aorta,juxtaductal coarctation of the aorta
"juxtaductal coarctation of the aorta.,2",juxtaductal coarctation of the aorta2
"bicuspid aortic valve.,4",bicuspid aortic valve4
"coarctation of the aorta.,management",coarctation of the aortaprocedure
supracondylar fracture,supracondylar fracture
loss of elbow motions,loss of elbow motions
"upper extremity amputation.,postoperative",upper extremity amputationpostoperative
upper extremity,upper extremity
dehisced,dehisced
cleft lip,cleft lip
"cleft of the palate.,postoperative",cleft of the palatepostoperative
cleft of the lip,cleft lip
cleft lip repair,cleft lip repair
hemiuvulas,hemiuvulas
"dislocation right ankle.,postoperative diagnoses:,1",dislocation right anklepostoperative diagnoses1
right ankle pain,right ankle pain
flexor pollicis longus,flexor pollicis longus
left angle fracture,left angle fracture
symphysis fracture,symphysis fracture
cleft soft palate,cleft palate
"st-elevation myocardial infarction.,procedures",stelevation myocardial infarctionprocedures
left circumflex stenosis,left circumflex stenosis
pda,pda
plv,plv
st-elevation myocardial infarction,stelevation myocardial infarction
svg,svg
"aortogram.,7",aortogram7
aortogram,aortogram
aortic insufficiencies,aortic insufficiency
distal disease,distal disease
acalculous,acalculous
nodularity,nodularity
carbon-dioxide,carbondioxide
gangrenous,gangrenous
chest wall tumor,chest wall tumor
pleural thickening,pleural thickening
non-insulin dependent diabetes,noninsulin diabetes
diaphragmatic repair,diaphragmatic defect
diabetic hispanic female patient,diabetic hispanic female patient
pericholecystic edema,pericholecystic edema
congenital anomaly,congenital anomaly
delayed primary chest,delayed primary chest
hypoplastic left heart syndrome,hypoplastic left heart syndrome
obtunded,obtunded
septic,septic
carcinoma of the cervix,carcinoma of the cervix
vaseline occlusive,vaseline occlusive
"none.,urine",noneurine
fibromuscular adhesions,fibromuscular adhesions
flexion and extension was satisfactory.,flexion and extension was satisfactory
"hip.,procedures",hipprocedures
bipolar head,bipolar head
"chronic obstructive coronary disease.,2",obstructive coronary disease2
cephazolin,cephazolin
supraglottic,supraglottic
dysphonia,dysphonia
skin ptosis,skin ptosis
cpt 15825,cpt 15825
pen,pen
"1:100,000 epinephrine",1100000 epinephrine
"cannula.,then",cannulathen
"placed.,when",placedwhen
incisin,incisin
timoptic,timoptic
eserine,eserine
preservative,preservative
vitreous prolapse,vitreous prolapse
diamox,diamox
"tenosynovitis.,procedures",tenosynovitisprocedures
right hand pain,right hand pain
carpal tunnel syndrome,carpal tunnel disease
space-occupying lesions,spaceoccupying lesions
superficialis tendons,superficialis tendons
"knee medial femoral condyle osteochondritis dissecans.,postoperative",knee medial femoral condyle osteochondritis dissecanspostoperative
knee medial femoral condyle osteochondritis,knee medial femoral condyle osteochondritis
ocd,ocd
deficit in the weightbearing portion of medial femoral condyle,deficit in the weightbearing portion of medial femoral condyle
fragile lesion,fragile lesion
"lens.,the",lensthe
"carpal tunnel syndrome.,postoperative",carpal tunnel disease
"carpal tunnel syndrome.,operative",carpal tunnel disease
"right carpal tunnel syndrome.,postoperative",right carpal tunnel syndromeprocedure
"right carpal tunnel release.,anesthesia",right carpal tunnel releaseanesthesia
"right carpal tunnel syndrome.,procedure",right carpal tunnel syndromeprocedure
"carpal tunnel syndrome.,procedures:,1",carpal tunnel disease
nerve damage,nerve damage
failure,failure
"carpal tunnel release.,anesthesia",carpal tunnel releaseon
muscle mass,muscle mass
insulin-dependant diabetic,insulindependent diabetes
end-stage renal failure,endstage renal disease
neurogenic pain,neurogenic pain
occlusive arterial disease,occlusive arterial disease
artery occlusion,artery occlusion
"carpal tunnel syndrome.,procedure",carpal tunnel disease
"finger).,postoperative diagnoses:,1",fingerpostoperative diagnoses1
endarterectomy,endarterectomy
shock,shock
atrial appendage thrombus,atrial appendage thrombus
pacs,pacs
sinus tachycardia,sinus tachycardia
carotid artery stenosis,carotid disease
carotid stenosis,carotid disease
backflow bleeding,backflow bleeding
flecainide,flecainide
"pain.,past",painpast
atrial fibrillation/atrial flutter,atrial fibrillationatrial flutter
hypertrophic cardiomyopathy,hypertrophic cardiomyopathy
caffeine,caffeine
"cancer, vomiting of blood, coughing up blood, bright red blood per rectum,",cancer vomiting of blood coughing up blood bright red blood per rectum
renal calculi,renal calculi
regurgitation of stomach contents,regurgitation of stomach contents
arrhythmias,arrhythmias
tachyarrhythmias,tachyarrhythmias
bradyarrhythmias,bradyarrhythmias
"femoral artery access.,2",femoral arteriesour
re-stenosis,restenosis
teeth,teeth
hypokalemia,hypokalemia
sotalol,sotalol
digoxin,digoxin
"femoral artery 6-french.,medications:,1",femoral artery 6frenchmedications1
occlusion of the proximal lad,occlusion of the proximal lad
high-grade obstruction,highgrade obstruction
vessel stenosis,vessel stenosis
"hypoplastic left heart, status post norwood",hypoplastic left heart status post norwood
"ventricle.,the",ventriclethe
inferior vena cavagram,inferior vena cavagram
70/10,7010
neo-aortic valve stenosis,neoaortic valve stenosis
pedunculated right ventricle,pedunculated right ventricle
depressed right ventricular systolic function,depressed right ventricular systolic function
opacified,opacified
catheter-induced,catheterinduced
opacification,opacification
"sulcus circumflex branch.,ii",sulcus circumflex branchii
inferior myocardial infarction,inferior myocardial infarction
nitrates,nitrates
aggressive lipid reduction,aggressive lipid reduction
coronary atherosclerotic heart disease,coronary disease
coronary disease,coronary disease
complaints of progressive chest discomfort,complaints of progressive chest discomfort
plv disease,plv disease
left circumflex disease,left circumflex disease
pda disease,pda disease
"left ventricular systolic function.,plan",left ventricular systolic functionplan
triglyceride,triglyceride
"ml.,procedures",mlprocedures
intimal calcification,intimal calcification
"procedure:,left",procedureleft
premedication,premedication
right groin preparation,right groin preparation
aneurysmal dilatation,aneurysmal dilatation
dyskinesia,dyskinesia
ostial coronary calcification of the right coronary artery,ostial coronary calcification of the right coronary artery
backwash,backwash
ramus branch,ramus branch
calcification of the mid abdominal aorta,calcification of the mid abdominal aorta
coronary calcification,coronary calcification
calcification of the coronary arteries,calcification of the coronary arteries
left coronary artery disease,left coronary artery disease
mitral valve repair/replacement,mitral valve repairreplacement
right subclavian stenosis,right subclavian stenosis
"stenosis.,approach",stenosisapproach
diffuse disease,diffuse disease
om-3,om3
left cardiac catheterization,left cardiac catheterization
atherosclerotic coronary artery,atherosclerotic heart
arteriosclerotic cardiovascular disease,arteriosclerotic vascular disease
clopidogrel bisulphate,clopidogrel bisulphate
promethazine,promethazine
"dose.,4",dose4
abciximab,abciximab
left ventricular systolic function,left ventricle pressures
mitral valve regurgitation,mitral regurgitation
clopidogrel,clopidogrel
"timi-3 flow.,4",timi3 flow4
mid-left circumflex stenosis,midleft circumflex stenosis
valium,valium
"split.,procedures",splitprocedures
nervous branch,nervous branch
de-lengthened,delengthened
afo,afo
ulnar neuropathy,ulnar neuropathy
phrenic nerve protectors,phrenic nerve protectors
pericardial and thymus fat pad,pericardial and thymus fat pad
pectus,pectus
kidney failure,kidney failure
orthostatic cardiac allograft,orthostatic cardiac allograft
postoperative coagulopathy,postoperative coagulopathy
hodgkin disease,hodgkin disease
acute myocardial infarction,myocardial infarction
left ventricle pressures,left ventricle pressures
valve or systolic gradient,valve or systolic gradient
ventricular thrombus,ventricular thrombus
"procedure:,1",procedure1
exertional angina,exertional angina
left main disease,left main disease
precedex,precedex
"procedure.,heparin",procedureheparin
coronary occlusive,coronary occlusive
coronary occlusive disease,coronary occlusive disease
partial occlusion,partial occlusion
rheumatoid,rheumatoid
biopro hemi implant,biopro hemi implant
painful right foot bunion,painful right foot bunion
callus,callus
hypertrophic exostosis,hypertrophic exostosis
biopro,biopro
lateral exostosis,lateral exostosis
abductor digiti minimi tendon,abductor digiti minimi tendon
hypertrophic,hypertrophic
charcot-marie tooth disease,charcotmarie tooth disease
pes,pes
extensor hallucis brevis,extensor hallucis longus
plantar keratoma,plantar keratoma
painful lesion,painful lesion
hyperkeratotic,hyperkeratotic
left verrucous squamous cell carcinoma of the buccal mucosa,left verrucous squamous cell carcinoma of the buccal mucosa
rop,rop
distal interphalangeal joint arthroplasty,distal interphalangeal joint arthroplasty
hammertoes,hammertoes
hammertoe deformities,hammertoe deformity
"access.,anesthesia",accessanesthesia
preseptal,preseptal
eyelid malposition,eyelid malposition
hairline brow lift,hairline brow lift
reexpand,reexpand
lortab,lortab
primary lung carcinoma,primary lung carcinoma
partial pulmonary decortication,partial pulmonary decortication
sequelae of smv occlusion,sequelae of smv occlusion
purulent-appearing,purulentappearing
peep,peep
"cords.,procedure",cordsprocedure
nocardia,nocardia
tracheal granulation,tracheal granulation
airway stenosis,airway stenosis
high-grade occlusion,highgrade occlusion
high-grade obstruction of the right main bronchus,highgrade obstruction of the right main bronchus
splenic laceration,splenic laceration
cardiac arrhythmia,cardiac arrhythmia
right breast mass,right breast mass
right breast excisional,right breast excisional
"needle-localization.,anesthesia",needlelocalizationanesthesia
mucomyst,mucomyst
o2 saturations,o2 saturations
"scar.,anesthesia",scaranesthesia
fibrocystic disease,fibrocystic disease
"atypical ductal hyperplasia of left breast.,postoperative",atypical ductal hyperplasia of left breastpostoperative
"ductal hyperplasia of left breast.,procedure",ductal hyperplasia of left breastprocedure
ductal carcinoma,ductal carcinoma
fibroadenoma,fibroadenoma
hyperplasia,hyperplasia
"tonsillar adenoid hypertrophy.,procedures",tonsillar adenoid hypertrophyprocedures
chronic mouth breathing,mouth breathing
submucous cleft,submucous cleft
copious,copious
subcuteneous,subcuteneous
microperforation,microperforation
mouth gag mouth,mouth gag mouth
adenoidal,adenoidal
tremor,tremor
dystonic,dystonic
orbital block,orbital block
infraorbital block,infraorbital block
teasing,teasing
dentigerous cyst,dentigerous cyst
peridex mouth,peridex mouth
"ptosis, brow ptosis.,postoperative dx",ptosis brow ptosispostoperative dx
dermatochalasis,dermatochalasis
brow ptosis,brow ptosis
ptosis and visual field obstruction,ptosis and visual field obstruction
visual field loss,visual field loss
emla cream,emla cream
proparacaine,proparacaine
"left back skin nevus 2 cm.,2. right mid back skin nevus 1 cm.,3.",left back skin nevus 2 cm2 right mid back skin nevus 1 cm3
"right shoulder skin nevus 2.5 cm.,4. actinic keratosis",right shoulder skin nevus 25 cm4 actinic keratosis
"left back skin nevus 2 cm, two layer plastic closure.,2.",left back skin nevus 2 cm two layer plastic closure2
"right shoulder skin nevus 2.5 cm, one-layer plastic closure.,4.",right shoulder skin nevus 25 cm onelayer plastic closure4
"hepatosplenomegaly.,procedure",hepatosplenomegalyprocedure
hiccups,hiccups
thrombocytopenic,thrombocytopenic
lymphoma,lymphoma
entropion,entropion
"preprocedure diagnoses,1",preprocedure diagnoses1
"noted.,the",notedthe
vt-1,vt1
left shoulder actinic keratosis,left shoulder actinic keratosis
trigonocephaly,trigonocephaly
adenoiditis,adenoiditis
"adenoid hypertrophy.,postoperative",adenoid hypertrophypostoperative
"adenoid hypertrophy.,final",adenoid hypertrophy4
"adenoid hypertrophy.,4",adenoid hypertrophy4
augmentin 400,augmentin 400
adenoid hyperplasia,adenoid hyperplasia
"tonsillectomy.,anesthesia",tonsillectomyanesthesia
right external auditory canal was cleaned out under the microscope.,right external auditory canal was cleaned out under the microscope
puffiness,puffiness
impairment of lateral vision,impairment of lateral vision
herniated orbital fat,herniated orbital fat
extraocular muscle movements,extraocular movements
ectropion,ectropion
mucopurulent,mucopurulent
carotid artery occlusive,carotid disease
"peripheral vascular disease.,postoperative",peripheral vascular diseasepostoperative
small ulcer,small ulcer
"xylocaine 1:100,000",xylocaine 1100000
hematemesis,hematemesis
mallory-weiss tear,malloryweiss tear
"basal cell carcinoma, right cheek",basal cell carcinoma right cheek
biopsy-proven basal cell carcinoma,biopsyproven basal cell carcinoma
cosmetic breast augmentation,cosmetic breast augmentation
basal cell cancers,basal cell cancers
