entity_raw,canonical_entity
"allopurinol.,7",allopurinol7
sodium,sodium
nystatin,nystatin
well-nourished,wellnourished
benign prostatic hypertrophy,benign prostatic hypertrophy
proscar,proscar
bph,bph
holmium,holmium
"coronary artery disease.,past",coronary disease
viagra,viagra
diarrhea,diarrhea
"clear.,heart",clearheart
benzoin,benzoin
involuntary urinary incontinence,involuntary urinary incontinence
torsion,torsion
bladder tumor,bladder tumor
turbt,turbt
"minimal.,indications",minimalindications
tumor,tumor
prostatic hyperplasia,prostatic hyperplasia
bladder stones,bladder stones
bladder diverticula,bladder diverticula
renal insufficiency,renal insufficiency
bladder cancer,bladder tumor
periureteral diverticulum,periureteral diverticulum
tumors,tumors
vomiting or fever,vomiting or fever
trauma,trauma
rhinorrhea,rhinorrhea
"evaluation.,past",evaluationpast
"circumcision.,past",circumcisionpast
upper respiratory infection,upper respiratory infection
murmurs,murmurs
"gallops.,abdomen",gallopsabdomen
testis,testis
"carcinoma of the urinary bladder.,postoperative",carcinoma of the bladder
"carcinoma of the urinary bladder.,title",carcinoma of the bladder
carcinoma,carcinoma
papillary tumor,papillary tumor
ciprofloxacin,ciprofloxacin
left-sided spermatocele,leftsided spermatocele
spermatocele,spermatocele
infertility,infertility
bacitracin ointment,bacitracin ointment
doxycycline,doxycycline
vicodin,vicodin
hydrocele,hydrocele
hypervascularity,hypervascularity
colic,colic
avascular,avascular
sgia,sgia
stoma,stoma
"right spermatocele.,operations performed:,1",right spermatoceleoperations performed1
right spermatocele,right spermatocele
scrotal pain,scrotal pain
urethral hypermobility,urethral hypermobility
stress urinary incontinence,stress incontinence
congestion,congestion
cord block,cord block
toradol,toradol
obstructed renal ureteropelvic junction obstruction status,obstructed renal ureteropelvic junction obstruction status
pyelonephritis,pyelonephritis
left ureteropelvic junction obstruction,left ureteropelvic junction obstruction
"dilated ureter and dilated renal pelvis.,tubes",dilated ureter and dilated renal pelvistubes
silicone,silicone
ureteropelvic junction repair,ureteropelvic junction repair
cystitis,cystitis
sepsis,sepsis
bladder neck contractures,bladder obstruction
urinary fistulae,urinary fistulae
impotence,impotency
abdominal hernia,abdominal hernia
osteitis,osteitis
pelvic pain,pelvic pain
penile swelling,penile lesions
erythema,erythema
febrile,febrile
cyanosis,cyanosis
cough,cough
lethargy,lethargy
seizure,seizure
clindamycin,clindamycin
rocephin,rocephin
"cleocin.,past",cleocinpast
